,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,1.7,Central California,1096414250890,1524604985325,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506381,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506381&format=geojson,,,,,automatic,0,44,nc,30506381,",nc30506381,nn00115257,",",nc,nn,",",nearby-cities,origin,phase-data,",7,0.05856,0.07,99,md,earthquake,M 1.7 - Central California,15,Point,"[-118.6633333, 38.0106667, 8.275]",15
0,1.69,Central California,1096414150900,1483916569530,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506378,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506378&format=geojson,,,,,automatic,0,44,nc,30506378,",nc30506378,",",nc,",",nearby-cities,origin,phase-data,",23,0.01892,0.06,108,md,earthquake,M 1.7 - Central California,16,Point,"[-120.4878333, 35.9383333, 4.953]",16
0,1.14,Central California,1096413734860,1483916558023,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506374,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506374&format=geojson,,,,,automatic,0,20,nc,30506374,",nc30506374,",",nc,",",nearby-cities,origin,phase-data,",13,0.04865,0.03,74,md,earthquake,M 1.1 - Central California,17,Point,"[-120.3536667, 35.8043333, 9.958]",17
0,1.17,Central California,1096413559980,1483916554413,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506373,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506373&format=geojson,,,,,automatic,0,21,nc,30506373,",nc30506373,",",nc,",",nearby-cities,origin,phase-data,",5,0.02072,0,136,md,earthquake,M 1.2 - Central California,18,Point,"[-120.3963333, 35.857, 3.982]",18
0,1.43,Central California,1096413509760,1483916547575,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21400514,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21400514&format=geojson,,,,,reviewed,0,31,nc,21400514,",nc21400514,",",nc,",",nearby-cities,origin,phase-data,",26,0.01261,0.05,57,md,earthquake,M 1.4 - Central California,19,Point,"[-120.3945, 35.8486667, 4.663]",19
0,1.69,Central California,1096413135110,1483916543832,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506371,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506371&format=geojson,,,,,automatic,0,44,nc,30506371,",nc30506371,",",nc,",",nearby-cities,origin,phase-data,",10,0.02973,0.24,140,md,earthquake,M 1.7 - Central California,20,Point,"[-120.531, 35.9706667, -0.699]",20
0,1.15,Central California,1096413125610,1483916540481,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506370,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506370&format=geojson,,,,,automatic,0,20,nc,30506370,",nc30506370,",",nc,",",nearby-cities,origin,phase-data,",14,0.01802,0.07,88,md,earthquake,M 1.2 - Central California,21,Point,"[-120.3741667, 35.8235, 6.783]",21
0,1.3,Central California,1096413054700,1483916536920,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506369,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506369&format=geojson,,,,,automatic,0,26,nc,30506369,",nc30506369,",",nc,",",nearby-cities,origin,phase-data,",14,0.03604,0.05,92,md,earthquake,M 1.3 - Central California,22,Point,"[-120.4713333, 35.9216667, 5.376]",22
0,1.4,Central California,1096413009730,1483916533429,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506368,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506368&format=geojson,,,,,automatic,0,30,nc,30506368,",nc30506368,",",nc,",",nearby-cities,origin,phase-data,",14,0.02072,0.03,84,md,earthquake,M 1.4 - Central California,23,Point,"[-120.4261667, 35.8785, 5.027]",23
0,1.26,Central California,1096412913800,1483916529926,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21400512,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21400512&format=geojson,,,,,reviewed,0,24,nc,21400512,",nc21400512,",",nc,",",nearby-cities,origin,phase-data,",29,0.04054,0.03,93,md,earthquake,M 1.3 - Central California,24,Point,"[-118.8206667, 37.5375, 4.817]",24
