,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.19,Northern California,624755591470,1481291721890,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091379,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091379&format=geojson,,,,,reviewed,0,74,nc,20091379,",nc20091379,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",67,0.05225,0.08,65,md,earthquake,M 2.2 - Northern California,14,Point,"[-121.9788333, 37.1321667, 14.489]",14
0,1.69,Northern California,624755512820,1481291714160,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091378,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091378&format=geojson,,,,,reviewed,0,44,nc,20091378,",nc20091378,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",48,0.01622,0.05,72,md,earthquake,M 1.7 - Northern California,15,Point,"[-121.6823333, 36.9403333, 10.094]",15
0,1.56,Northern California,624755464430,1481291708361,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091377,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091377&format=geojson,,,,,reviewed,0,37,nc,20091377,",nc20091377,",",nc,",",nearby-cities,origin,phase-data,",22,0.05495,0.1,62,md,earthquake,M 1.6 - Northern California,16,Point,"[-121.8381667, 37.1006667, 2.408]",16
0,1.43,Northern California,624755378330,1481291704598,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091372,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091372&format=geojson,,,,,reviewed,0,31,nc,20091372,",nc20091372,",",nc,",",nearby-cities,origin,phase-data,",11,0.02432,0.02,92,md,earthquake,M 1.4 - Northern California,17,Point,"[-121.9418333, 37.1461667, 7.647]",17
0,1.59,Northern California,624755246960,1481291700821,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091371,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091371&format=geojson,,,,,reviewed,0,39,nc,20091371,",nc20091371,",",nc,",",nearby-cities,origin,phase-data,",22,0.02162,0.03,76,md,earthquake,M 1.6 - Northern California,18,Point,"[-121.8523333, 37.0933333, 7.639]",18
0,1.13,Northern California,624755120210,1481291697027,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091376,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091376&format=geojson,,,,,reviewed,0,20,nc,20091376,",nc20091376,",",nc,",",nearby-cities,origin,phase-data,",19,0.03694,0.07,85,md,earthquake,M 1.1 - Northern California,19,Point,"[-121.7365, 37.0176667, 3.909]",19
0,1.39,Northern California,624754993220,1481291691870,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091370,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091370&format=geojson,,,,,reviewed,0,30,nc,20091370,",nc20091370,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",22,0.03604,0.06,83,md,earthquake,M 1.4 - Northern California,20,Point,"[-121.7451667, 37.0213333, 5.299]",20
0,1.8,Northern California,624754843680,1481291682930,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091369,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091369&format=geojson,,,,,reviewed,0,50,nc,20091369,",nc20091369,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",32,0.008108,0.1,39,md,earthquake,M 1.8 - Northern California,21,Point,"[-121.5736667, 36.9551667, 4.073]",21
0,2.19,Northern California,624754612270,1481291674913,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091364,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091364&format=geojson,,,,,reviewed,0,74,nc,20091364,",nc20091364,",",nc,",",nearby-cities,origin,phase-data,",17,0.1099,0.17,141,md,earthquake,M 2.2 - Northern California,22,Point,"[-121.7955, 36.9556667, 18.337]",22
0,2.11,Northern California,624754420950,1481291669920,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091363,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091363&format=geojson,,,,,reviewed,0,68,nc,20091363,",nc20091363,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",44,0.02613,0.06,39,md,earthquake,M 2.1 - Northern California,23,Point,"[-121.7886667, 37.0236667, 10.378]",23
0,1.66,Northern California,624754369030,1481291663922,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166874,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166874&format=geojson,,,,,reviewed,0,42,nc,1166874,",nc1166874,",",nc,",",nearby-cities,origin,phase-data,",19,0.01802,0.09,97,md,earthquake,M 1.7 - Northern California,24,Point,"[-121.8383333, 37.0071667, 12.215]",24
0,1.48,Northern California,624754072240,1481291656683,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091362,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091362&format=geojson,,,,,reviewed,0,34,nc,20091362,",nc20091362,",",nc,",",nearby-cities,origin,phase-data,",22,0.05315,0.08,80,md,earthquake,M 1.5 - Northern California,25,Point,"[-121.8898333, 37.0796667, 12.222]",25
0,1.36,Northern California,624753949000,1481291652748,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166872,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166872&format=geojson,,,,,reviewed,0,28,nc,1166872,",nc1166872,",",nc,",",nearby-cities,origin,phase-data,",10,0.03153,0.04,95,md,earthquake,M 1.4 - Northern California,26,Point,"[-121.7885, 36.9995, 11.895]",26
0,1.53,Northern California,624753898250,1481291648807,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091361,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091361&format=geojson,,,,,reviewed,0,36,nc,20091361,",nc20091361,",",nc,",",nearby-cities,origin,phase-data,",20,0.01622,0.12,51,md,earthquake,M 1.5 - Northern California,27,Point,"[-121.7981667, 37.038, 3.198]",27
0,1.7,Northern California,624753848100,1481291645194,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166871,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166871&format=geojson,,,,,reviewed,0,44,nc,1166871,",nc1166871,",",nc,",",nearby-cities,origin,phase-data,",16,0.04685,0.05,90,md,earthquake,M 1.7 - Northern California,28,Point,"[-121.8916667, 37.1171667, 8.788]",28
