,index,type,time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
38,38,earthquake,1989-10-18 22:19:23.990,2.95,Northern California,reviewed,0,134,nc,80.0,0.01712,0.08,52.0,md,-121.793,37.0405,4.558
39,39,earthquake,1989-10-18 22:18:43.790,1.84,Northern California,reviewed,0,52,nc,28.0,0.006306,0.1,50.0,md,-121.8406667,37.1058333,2.589
40,40,earthquake,1989-10-18 22:17:36.410,1.49,Northern California,reviewed,0,34,nc,24.0,0.02162,0.03,115.0,md,-121.7095,36.9718333,10.636
41,41,earthquake,1989-10-18 22:16:22.550,1.34,Northern California,reviewed,0,28,nc,21.0,0.05315,0.1,52.0,md,-121.922,37.1171667,2.681
42,42,earthquake,1989-10-18 22:13:31.110,2.7,Northern California,reviewed,0,112,nc,74.0,0.01712,0.08,52.0,md,-121.7945,37.039,4.238
43,43,earthquake,1989-10-18 22:11:56.970,1.22,Northern California,reviewed,0,23,nc,14.0,0.039639999999999995,0.03,76.0,md,-121.8653333,37.1206667,3.567
44,44,earthquake,1989-10-18 22:09:19.660,1.53,Central California,reviewed,0,36,nc,12.0,0.06847,0.05,195.0,md,-118.8603333,38.0755,-1.75
45,45,earthquake,1989-10-18 22:09:13.620,1.23,Northern California,reviewed,0,23,nc,12.0,0.06486,0.03,77.0,md,-121.9161667,37.1061667,7.241
46,46,earthquake,1989-10-18 22:08:28.840,1.15,Northern California,reviewed,0,20,nc,15.0,0.03333,0.06,64.0,md,-121.8758333,37.1031667,3.769
47,47,quarry blast,1989-10-18 22:06:00.460,1.61,"4km NW of Boron, CA",reviewed,0,40,ci,0.0,,0.14800000000000002,137.5,mc,-117.68,35.03,-0.78
48,48,earthquake,1989-10-18 22:05:51.260,1.67,Northern California,reviewed,0,43,nc,40.0,0.02342,0.06,44.0,md,-122.0198333,37.1871667,10.431
49,49,earthquake,1989-10-18 22:03:19.520,1.78,Northern California,reviewed,0,49,nc,59.0,0.018019999999999998,0.05,48.0,md,-121.8046667,37.0051667,16.147
50,50,quarry blast,1989-10-18 22:00:27.880,2.48,Northern California,reviewed,0,95,nc,17.0,0.04955,0.11,61.0,md,-122.3928333,38.8305,-0.436
51,51,earthquake,1989-10-18 21:57:15.190,1.71,Northern California,reviewed,0,45,nc,8.0,0.018019999999999998,0.03,130.0,md,-121.7995,37.025,13.414
52,52,earthquake,1989-10-18 21:55:20.730,1.15,Northern California,reviewed,0,20,nc,6.0,0.05495,0.02,131.0,md,-121.8513333,37.0668333,9.271
53,53,earthquake,1989-10-18 21:53:56.800,2.32,Central California,reviewed,0,83,nc,14.0,0.06216,0.08,119.0,md,-120.4275,36.2953333,7.761
54,54,earthquake,1989-10-18 21:52:52.980,3.23,Central California,reviewed,0,161,nc,42.0,0.06216,0.11,122.0,md,-120.43,36.2971667,8.688
55,55,earthquake,1989-10-18 21:51:54.430,3.1,Northern California,reviewed,0,148,nc,58.0,0.06847,0.09,53.0,ml,-121.926,37.1015,9.761
56,56,earthquake,1989-10-18 21:48:21.600,1.89,Northern California,reviewed,0,55,nc,27.0,0.04775,0.05,65.0,md,-121.7686667,36.9945,14.197
57,57,earthquake,1989-10-18 21:42:36.930,1.19,"San Francisco Bay area, California",reviewed,0,22,nc,4.0,0.05315,0.0,166.0,md,-121.8445,37.6773333,4.44
58,58,earthquake,1989-10-18 21:42:21.060,1.59,Northern California,reviewed,0,39,nc,7.0,0.009909999999999999,0.04,126.0,md,-121.8005,37.044,0.905
59,59,earthquake,1989-10-18 21:38:37.080,1.65,Northern California,reviewed,0,42,nc,16.0,0.009909999999999999,0.06,63.0,md,-121.8191667,37.058,5.495
60,60,earthquake,1989-10-18 21:35:48.060,2.39,Northern California,reviewed,0,88,nc,46.0,0.05045,0.06,66.0,md,-121.9805,37.1328333,14.366
61,61,earthquake,1989-10-18 21:32:51.260,1.91,Northern California,reviewed,0,56,nc,21.0,0.03784,0.07,80.0,md,-121.7661667,37.038,2.259
62,62,earthquake,1989-10-18 21:29:28.080,1.43,Northern California,reviewed,0,31,nc,12.0,0.05315,0.02,143.0,md,-121.7406667,36.991,14.417
