,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.58,Central California,178751306970,1481770617846,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1026058,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1026058&format=geojson,,,,,reviewed,0,102,nc,1026058,",nc1026058,",",nc,",",nearby-cities,origin,phase-data,",11,0.02072,0.03,72,md,earthquake,M 2.6 - Central California,0,Point,"[-120.926, 36.337, 6.189]",0
0,2.31,Northern California,178746572840,1481770614256,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1026057,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1026057&format=geojson,,,,,reviewed,0,82,nc,1026057,",nc1026057,",",nc,",",nearby-cities,origin,phase-data,",14,0.02072,0.05,131,md,earthquake,M 2.3 - Northern California,1,Point,"[-121.4823333, 37.0456667, 5.218]",1
0,2.53,Central California,178736464890,1481770610502,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1026056,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1026056&format=geojson,,,,,reviewed,0,98,nc,1026056,",nc1026056,",",nc,",",nearby-cities,origin,phase-data,",12,0.01712,0.06,64,md,earthquake,M 2.5 - Central California,2,Point,"[-121.0963333, 36.5088333, 3.263]",2
0,4.2,Nevada,178716459700,1415316091796,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000cnm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000cnm&format=geojson,,,,,reviewed,0,271,us,p0000cnm,",usp0000cnm,",",us,",",origin,",,,,,ml,earthquake,M 4.2 - Nevada,3,Point,"[-119.113, 40.95, 33]",3
0,2.42,Central California,178713573620,1481770606998,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1026055,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1026055&format=geojson,,,,,reviewed,0,90,nc,1026055,",nc1026055,",",nc,",",nearby-cities,origin,phase-data,",25,0.03423,0.14,52,md,earthquake,M 2.4 - Central California,4,Point,"[-121.4751667, 36.9066667, 5.468]",4
0,3.5,Central California,178696359200,1481770601950,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1026054,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1026054&format=geojson,,,,,reviewed,0,188,nc,1026054,",nc1026054,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",48,0.05405,0.06,58,md,earthquake,M 3.5 - Central California,5,Point,"[-121.131, 36.5405, 5.426]",5
0,2.4,"13km SSE of Bombay Beach, CA",178693785920,1454104784280,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3023392,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3023392&format=geojson,,,,,reviewed,0,89,ci,3023392,",ci3023392,",",ci,",",origin,phase-data,",0,,0.311,79.7,md,earthquake,"M 2.4 - 13km SSE of Bombay Beach, CA",6,Point,"[-115.681, 33.244, 12.6]",6
0,2.63,Central California,178691287040,1481770594044,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1026053,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1026053&format=geojson,,,,,reviewed,0,106,nc,1026053,",nc1026053,",",nc,",",nearby-cities,origin,phase-data,",13,0.04414,0.08,84,md,earthquake,M 2.6 - Central California,7,Point,"[-121.1338333, 36.6286667, 4.127]",7
0,3.94,Central California,178662608250,1481770571367,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1026047,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1026047&format=geojson,,,,,reviewed,0,239,nc,1026047,",nc1026047,",",nc,",",nearby-cities,origin,phase-data,",22,0.01351,0.08,137,md,earthquake,M 3.9 - Central California,8,Point,"[-120.7953333, 36.2291667, 5.471]",8
0,2.5,"Seattle-Tacoma urban area, Washington",178656012270,1469405731040,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10861603,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10861603&format=geojson,,,,,reviewed,0,96,uw,10861603,",uw10861603,",",uw,",",origin,phase-data,",11,0.3301,0.09,85,md,earthquake,"M 2.5 - Seattle-Tacoma urban area, Washington",9,Point,"[-122.5055, 47.8335, 22.765]",9
0,2.6,Northern California,178650219460,1481770567570,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1026046,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1026046&format=geojson,,,,,reviewed,0,104,nc,1026046,",nc1026046,",",nc,",",nearby-cities,origin,phase-data,",16,0.04144,0.05,115,md,earthquake,M 2.6 - Northern California,10,Point,"[-124.193, 40.491, 21.701]",10
0,2.1,Washington,178645039000,1469405730200,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10861593,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10861593&format=geojson,,,,,reviewed,0,68,uw,10861593,",uw10861593,",",uw,",",origin,phase-data,",12,0.005288,0.18,186,md,earthquake,M 2.1 - Washington,11,Point,"[-119.7693333, 46.6111667, 12.049]",11
0,2.25,Northern California,178636681420,1481770563628,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1026045,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1026045&format=geojson,,,,,reviewed,0,78,nc,1026045,",nc1026045,",",nc,",",nearby-cities,origin,phase-data,",13,0.03874,0.05,184,md,earthquake,M 2.3 - Northern California,12,Point,"[-124.132, 40.3946667, 27.5]",12
