,index,type,time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
40,40,earthquake,2004-09-28 22:32:51.300,1.22,Central California,automatic,0,23,nc,12,0.01712,0.03,104.0,md,-120.4203333,35.8738333,4.883
41,41,earthquake,2004-09-28 22:32:40.830,1.0,Central California,automatic,0,15,nc,11,0.02613,0.07,108.0,md,-120.4315,35.8896667,4.371
42,42,earthquake,2004-09-28 22:32:15.590,1.23,Central California,automatic,0,23,nc,12,0.018019999999999998,0.03,90.0,md,-120.4215,35.8736667,5.059
43,43,earthquake,2004-09-28 22:29:49.470,1.46,Central California,automatic,0,33,nc,7,0.015319999999999999,0.1,119.0,md,-120.5195,35.9455,0.808
44,44,earthquake,2004-09-28 22:26:45.300,1.67,Central California,reviewed,0,43,nc,26,0.02072,0.05,105.0,md,-120.4786667,35.9301667,4.234
45,45,earthquake,2004-09-28 22:26:21.830,1.27,Central California,reviewed,0,25,nc,8,0.03333,0.07,76.0,md,-118.7125,38.0018333,4.985
46,46,earthquake,2004-09-28 22:22:52.300,2.65,Central California,reviewed,0,108,nc,56,0.01622,0.06,39.0,md,-120.4701667,35.9191667,5.074
47,47,earthquake,2004-09-28 22:21:59.580,1.09,Central California,automatic,0,18,nc,12,0.018019999999999998,0.08,87.0,md,-120.3746667,35.8251667,6.878
48,48,earthquake,2004-09-28 22:21:38.080,1.49,Central California,automatic,0,34,nc,26,0.015319999999999999,0.07,115.0,md,-120.4886667,35.9418333,10.293
49,49,earthquake,2004-09-28 22:20:02.290,1.43,Central California,reviewed,0,31,nc,23,0.01622,0.05,93.0,md,-120.4756667,35.924,5.064
50,50,earthquake,2004-09-28 22:16:49.880,1.25,Central California,reviewed,0,24,nc,18,0.019819999999999997,0.04,102.0,md,-120.474,35.9273333,4.754
51,51,earthquake,2004-09-28 22:15:18.657,1.9,Northern California,reviewed,0,56,nn,5,0.556,0.1311,302.39,ml,-120.8222,40.5017,14.4
52,52,earthquake,2004-09-28 22:15:03.990,1.38,Central California,automatic,0,29,nc,15,0.05135,0.04,167.0,md,-120.5965,36.027,2.545
53,53,earthquake,2004-09-28 22:14:03.190,1.55,Central California,automatic,0,37,nc,20,0.018019999999999998,0.05,59.0,md,-120.532,35.9698333,6.124
54,54,earthquake,2004-09-28 22:13:10.610,1.18,Central California,automatic,0,21,nc,5,0.019819999999999997,0.01,169.0,md,-120.403,35.8618333,4.967
55,55,earthquake,2004-09-28 22:11:48.470,1.91,Central California,reviewed,0,56,nc,10,0.04054,0.1,126.0,md,-121.0363333,35.6526667,5.844
56,56,earthquake,2004-09-28 22:07:51.480,2.93,"53km SSW of Progreso, B.C., MX",reviewed,0,132,ci,14,0.4968,0.23,239.0,ml,-115.8426667,32.1536667,6.787
57,57,earthquake,2004-09-28 22:06:18.130,1.62,Central California,automatic,0,40,nc,24,0.03514,0.08,52.0,md,-120.4736667,35.9215,4.37
58,58,earthquake,2004-09-28 22:04:11.890,2.22,Central California,automatic,0,76,nc,35,0.01441,0.05,62.0,md,-120.5143333,35.9621667,9.902
59,59,earthquake,2004-09-28 22:02:39.400,1.96,Central California,automatic,0,59,nc,22,0.02252,0.06,82.0,md,-120.4291667,35.8833333,4.466
60,60,earthquake,2004-09-28 22:02:26.910,1.21,Central California,automatic,0,23,nc,14,0.018019999999999998,0.03,78.0,md,-120.421,35.8735,5.242
61,61,earthquake,2004-09-28 22:01:05.290,1.06,Central California,reviewed,0,17,nc,15,0.015319999999999999,0.06,91.0,md,-120.517,35.9586667,8.352
62,62,earthquake,2004-09-28 21:57:37.840,2.03,Central California,automatic,0,63,nc,32,0.03333,0.05,60.0,md,-120.34,35.7996667,4.44
63,63,earthquake,2004-09-28 21:57:07.730,1.22,Central California,automatic,0,23,nc,17,0.01892,0.03,79.0,md,-120.4216667,35.873,4.762
64,64,earthquake,2004-09-28 21:56:52.170,1.09,Central California,automatic,0,18,nc,6,0.015319999999999999,0.01,105.0,md,-120.397,35.8515,5.468
65,65,earthquake,2004-09-28 21:55:55.970,1.41,Central California,reviewed,0,31,nc,27,0.02162,0.04,111.0,md,-120.4848333,35.937,5.06
66,66,earthquake,2004-09-28 21:54:05.380,1.8,Central California,reviewed,0,50,nc,32,0.019819999999999997,0.05,53.0,md,-120.48,35.93,5.074
67,67,earthquake,2004-09-28 21:51:46.190,2.21,Central California,reviewed,0,75,nc,50,0.02342,0.03,51.0,md,-120.4095,35.8593333,5.782
